date,Alameda,Contra Costa,Fresno,Kern,Los Angeles,Orange,Riverside,Sacramento,San Bernardino,San Diego,San Joaquin,Santa Clara,Stanislaus,Tulare,Ventura
2020-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0,0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0,0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0,0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0,0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0,0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0,0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0,0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0,0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0,0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0,0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0,0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0,0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0,0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0
2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0.14285714285714285,0,0
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0.14285714285714285,0,0
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0.14285714285714285,0,0
2020-03-09,0,0,0,0,0,0,0,0.14285714285714285,0,0,0,0.42857142857142855,0.14285714285714285,0,0
